fold,model,fitted q
0,Choquet 1-additive scaled-q,0.0
0,Choquet 2-additive scaled-q,0.0
0,Choquet 2-additive scaled-q L1,0.0
1,Choquet 1-additive scaled-q,0.0
1,Choquet 2-additive scaled-q,0.0
1,Choquet 2-additive scaled-q L1,0.0
2,Choquet 1-additive scaled-q,0.0
2,Choquet 2-additive scaled-q,0.0
2,Choquet 2-additive scaled-q L1,0.0
3,Choquet 1-additive scaled-q,0.0
3,Choquet 2-additive scaled-q,0.0
3,Choquet 2-additive scaled-q L1,0.0
4,Choquet 1-additive scaled-q,0.0
4,Choquet 2-additive scaled-q,0.0
4,Choquet 2-additive scaled-q L1,0.0
5,Choquet 1-additive scaled-q,0.0
5,Choquet 2-additive scaled-q,0.0
5,Choquet 2-additive scaled-q L1,0.0
6,Choquet 1-additive scaled-q,0.0
6,Choquet 2-additive scaled-q,0.0
6,Choquet 2-additive scaled-q L1,0.0
