fold,model,feature,training_correlation,absolute_training_correlation,minimum_absolute_correlation,meets_correlation_threshold,subperiod_sign_agreement,sign_stable,stability_required,orientation_supported,orientation_sign,transformation,orientation_training_observations,orientation_source,training_subperiod_1_correlation,training_subperiod_2_correlation,training_subperiod_3_correlation
0,Choquet 2-additive,liquidity_stress_20d,0.07665421066009907,0.07665421066009907,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.1332771616484369,-0.19122102750442796,0.3929679297760185
0,Choquet 2-additive,market_loss_1d,-0.06956939496732903,0.06956939496732903,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.10736745607421057,-0.08091693157121697,-0.03759136187680546
0,Choquet 2-additive,negative_momentum_21d,0.05116670471104178,0.05116670471104178,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.011214355369710667,-0.34177482840525086,0.1728240504994621
0,Choquet 2-additive,realized_volatility_20d,0.09523314163327812,0.09523314163327812,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.23840897485053802,-0.2881099398806957,0.32721923512460094
0,Choquet 2-additive,term_spread_10y_2y_pct,-0.09664877154162269,0.09664877154162269,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),0.1156978685239847,-0.12940420114540374,-0.32806196026283174
0,Choquet 2-additive,vix,-0.041221702420549476,0.041221702420549476,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.3399442660825966,-0.35176420559885896,0.20038557101027493
0,Choquet 2-additive L1,average_equity_correlation_60d,0.0018089154491421153,0.0018089154491421153,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.40990981912988755,-0.16710011310701986,0.17897227535456153
0,Choquet 2-additive L1,baa_credit_spread_pct,-0.05329369152853448,0.05329369152853448,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.11356452909342458,-0.1827306392449176,0.15859431417116063
0,Choquet 2-additive L1,drawdown_severity,0.04608390725494259,0.04608390725494259,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.3480237246949134,-0.38746752368209,0.27336724727961476
0,Choquet 2-additive L1,lagged_portfolio_loss_1d,-0.04631516709992074,0.04631516709992074,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.09596794201530222,-0.012317126719243955,-0.025422505685715798
0,Choquet 2-additive L1,liquidity_stress_20d,0.07665421066009907,0.07665421066009907,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.1332771616484369,-0.19122102750442796,0.3929679297760185
0,Choquet 2-additive L1,market_loss_1d,-0.06956939496732903,0.06956939496732903,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.10736745607421057,-0.08091693157121697,-0.03759136187680546
0,Choquet 2-additive L1,negative_momentum_21d,0.05116670471104178,0.05116670471104178,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.011214355369710667,-0.34177482840525086,0.1728240504994621
0,Choquet 2-additive L1,realized_volatility_20d,0.09523314163327812,0.09523314163327812,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.23840897485053802,-0.2881099398806957,0.32721923512460094
0,Choquet 2-additive L1,term_spread_10y_2y_pct,-0.09664877154162269,0.09664877154162269,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),0.1156978685239847,-0.12940420114540374,-0.32806196026283174
0,Choquet 2-additive L1,vix,-0.041221702420549476,0.041221702420549476,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.3399442660825966,-0.35176420559885896,0.20038557101027493
0,Choquet 2-additive scaled-q,average_equity_correlation_60d,0.0018089154491421153,0.0018089154491421153,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.40990981912988755,-0.16710011310701986,0.17897227535456153
0,Choquet 2-additive scaled-q,baa_credit_spread_pct,-0.05329369152853448,0.05329369152853448,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.11356452909342458,-0.1827306392449176,0.15859431417116063
0,Choquet 2-additive scaled-q,drawdown_severity,0.04608390725494259,0.04608390725494259,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.3480237246949134,-0.38746752368209,0.27336724727961476
0,Choquet 2-additive scaled-q,lagged_portfolio_loss_1d,-0.04631516709992074,0.04631516709992074,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.09596794201530222,-0.012317126719243955,-0.025422505685715798
0,Choquet 2-additive scaled-q,liquidity_stress_20d,0.07665421066009907,0.07665421066009907,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.1332771616484369,-0.19122102750442796,0.3929679297760185
0,Choquet 2-additive scaled-q,market_loss_1d,-0.06956939496732903,0.06956939496732903,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.10736745607421057,-0.08091693157121697,-0.03759136187680546
0,Choquet 2-additive scaled-q,negative_momentum_21d,0.05116670471104178,0.05116670471104178,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.011214355369710667,-0.34177482840525086,0.1728240504994621
0,Choquet 2-additive scaled-q,realized_volatility_20d,0.09523314163327812,0.09523314163327812,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.23840897485053802,-0.2881099398806957,0.32721923512460094
0,Choquet 2-additive scaled-q,term_spread_10y_2y_pct,-0.09664877154162269,0.09664877154162269,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),0.1156978685239847,-0.12940420114540374,-0.32806196026283174
0,Choquet 2-additive scaled-q,vix,-0.041221702420549476,0.041221702420549476,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.3399442660825966,-0.35176420559885896,0.20038557101027493
0,Choquet 2-additive scaled-q L1,average_equity_correlation_60d,0.0018089154491421153,0.0018089154491421153,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.40990981912988755,-0.16710011310701986,0.17897227535456153
0,Choquet 2-additive scaled-q L1,baa_credit_spread_pct,-0.05329369152853448,0.05329369152853448,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.11356452909342458,-0.1827306392449176,0.15859431417116063
0,Choquet 2-additive scaled-q L1,drawdown_severity,0.04608390725494259,0.04608390725494259,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.3480237246949134,-0.38746752368209,0.27336724727961476
0,Choquet 2-additive scaled-q L1,lagged_portfolio_loss_1d,-0.04631516709992074,0.04631516709992074,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.09596794201530222,-0.012317126719243955,-0.025422505685715798
0,Choquet 2-additive scaled-q L1,liquidity_stress_20d,0.07665421066009907,0.07665421066009907,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.1332771616484369,-0.19122102750442796,0.3929679297760185
0,Choquet 2-additive scaled-q L1,market_loss_1d,-0.06956939496732903,0.06956939496732903,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.10736745607421057,-0.08091693157121697,-0.03759136187680546
0,Choquet 2-additive scaled-q L1,negative_momentum_21d,0.05116670471104178,0.05116670471104178,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.011214355369710667,-0.34177482840525086,0.1728240504994621
0,Choquet 2-additive scaled-q L1,realized_volatility_20d,0.09523314163327812,0.09523314163327812,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.23840897485053802,-0.2881099398806957,0.32721923512460094
0,Choquet 2-additive scaled-q L1,term_spread_10y_2y_pct,-0.09664877154162269,0.09664877154162269,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),0.1156978685239847,-0.12940420114540374,-0.32806196026283174
0,Choquet 2-additive scaled-q L1,vix,-0.041221702420549476,0.041221702420549476,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.3399442660825966,-0.35176420559885896,0.20038557101027493
0,Fuzzy Choquet neural network,average_equity_correlation_60d,0.0018089154491421153,0.0018089154491421153,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.40990981912988755,-0.16710011310701986,0.17897227535456153
0,Fuzzy Choquet neural network,baa_credit_spread_pct,-0.05329369152853448,0.05329369152853448,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.11356452909342458,-0.1827306392449176,0.15859431417116063
0,Fuzzy Choquet neural network,drawdown_severity,0.04608390725494259,0.04608390725494259,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.3480237246949134,-0.38746752368209,0.27336724727961476
0,Fuzzy Choquet neural network,lagged_portfolio_loss_1d,-0.04631516709992074,0.04631516709992074,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.09596794201530222,-0.012317126719243955,-0.025422505685715798
0,Fuzzy Choquet neural network,liquidity_stress_20d,0.07665421066009907,0.07665421066009907,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.1332771616484369,-0.19122102750442796,0.3929679297760185
0,Fuzzy Choquet neural network,market_loss_1d,-0.06956939496732903,0.06956939496732903,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.10736745607421057,-0.08091693157121697,-0.03759136187680546
0,Fuzzy Choquet neural network,negative_momentum_21d,0.05116670471104178,0.05116670471104178,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.011214355369710667,-0.34177482840525086,0.1728240504994621
0,Fuzzy Choquet neural network,realized_volatility_20d,0.09523314163327812,0.09523314163327812,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.23840897485053802,-0.2881099398806957,0.32721923512460094
0,Fuzzy Choquet neural network,term_spread_10y_2y_pct,-0.09664877154162269,0.09664877154162269,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),0.1156978685239847,-0.12940420114540374,-0.32806196026283174
0,Fuzzy Choquet neural network,vix,-0.041221702420549476,0.041221702420549476,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.3399442660825966,-0.35176420559885896,0.20038557101027493
0,Monotone linear,average_equity_correlation_60d,0.0018089154491421153,0.0018089154491421153,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.40990981912988755,-0.16710011310701986,0.17897227535456153
0,Monotone linear,baa_credit_spread_pct,-0.05329369152853448,0.05329369152853448,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.11356452909342458,-0.1827306392449176,0.15859431417116063
0,Monotone linear,drawdown_severity,0.04608390725494259,0.04608390725494259,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.3480237246949134,-0.38746752368209,0.27336724727961476
0,Monotone linear,lagged_portfolio_loss_1d,-0.04631516709992074,0.04631516709992074,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.09596794201530222,-0.012317126719243955,-0.025422505685715798
0,Monotone linear,liquidity_stress_20d,0.07665421066009907,0.07665421066009907,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.1332771616484369,-0.19122102750442796,0.3929679297760185
0,Monotone linear,market_loss_1d,-0.06956939496732903,0.06956939496732903,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.10736745607421057,-0.08091693157121697,-0.03759136187680546
0,Monotone linear,negative_momentum_21d,0.05116670471104178,0.05116670471104178,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.011214355369710667,-0.34177482840525086,0.1728240504994621
0,Monotone linear,realized_volatility_20d,0.09523314163327812,0.09523314163327812,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.23840897485053802,-0.2881099398806957,0.32721923512460094
0,Monotone linear,term_spread_10y_2y_pct,-0.09664877154162269,0.09664877154162269,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),0.1156978685239847,-0.12940420114540374,-0.32806196026283174
0,Monotone linear,vix,-0.041221702420549476,0.041221702420549476,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.3399442660825966,-0.35176420559885896,0.20038557101027493
0,OLS oriented,average_equity_correlation_60d,0.0018089154491421153,0.0018089154491421153,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.40990981912988755,-0.16710011310701986,0.17897227535456153
0,OLS oriented,baa_credit_spread_pct,-0.05329369152853448,0.05329369152853448,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.11356452909342458,-0.1827306392449176,0.15859431417116063
0,OLS oriented,drawdown_severity,0.04608390725494259,0.04608390725494259,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.3480237246949134,-0.38746752368209,0.27336724727961476
0,OLS oriented,lagged_portfolio_loss_1d,-0.04631516709992074,0.04631516709992074,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.09596794201530222,-0.012317126719243955,-0.025422505685715798
0,OLS oriented,liquidity_stress_20d,0.07665421066009907,0.07665421066009907,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.1332771616484369,-0.19122102750442796,0.3929679297760185
0,OLS oriented,market_loss_1d,-0.06956939496732903,0.06956939496732903,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),996,training only (frozen before validation refit),-0.10736745607421057,-0.08091693157121697,-0.03759136187680546
